,Start Year,ISO,Disaster Subgroup,share
0,1960,CHL,Geophysical,20.32249930160569
1,1961,CHL,Geophysical,0.0
2,1962,CHL,Geophysical,0.0
3,1963,CHL,Geophysical,0.0
4,1964,CHL,Geophysical,0.0
5,1965,CHL,Geophysical,3.6137033322927246
6,1966,CHL,Geophysical,0.010092804926257113
7,1967,CHL,Geophysical,0.0
8,1968,CHL,Geophysical,0.0
9,1969,CHL,Geophysical,0.0
10,1970,CHL,Geophysical,0.0
11,1971,CHL,Geophysical,3.845891227416725
12,1972,CHL,Geophysical,0.0
13,1973,CHL,Geophysical,0.0
14,1974,CHL,Geophysical,0.0
15,1975,CHL,Geophysical,0.0
16,1976,CHL,Geophysical,0.0
17,1977,CHL,Geophysical,0.0
18,1978,CHL,Geophysical,0.0
19,1979,CHL,Geophysical,0.0
20,1980,CHL,Geophysical,0.0
21,1981,CHL,Geophysical,0.0
22,1982,CHL,Geophysical,0.0
23,1983,CHL,Geophysical,0.006060429638075142
24,1984,CHL,Geophysical,0.0
25,1985,CHL,Geophysical,7.774635470056221
26,1986,CHL,Geophysical,0.0
27,1987,CHL,Geophysical,0.004374410970025258
28,1988,CHL,Geophysical,0.0
29,1989,CHL,Geophysical,0.0
30,1990,CHL,Geophysical,0.0
31,1991,CHL,Geophysical,0.041641295164286905
32,1992,CHL,Geophysical,0.0
33,1993,CHL,Geophysical,0.0
34,1994,CHL,Geophysical,0.0
35,1995,CHL,Geophysical,0.0030379507891452576
36,1996,CHL,Geophysical,0.0
37,1997,CHL,Geophysical,0.07270863102172602
38,1998,CHL,Geophysical,0.0
39,1999,CHL,Geophysical,0.0
40,2000,CHL,Geophysical,0.0
41,2001,CHL,Geophysical,0.0
42,2002,CHL,Geophysical,0.0
43,2003,CHL,Geophysical,0.0
44,2004,CHL,Geophysical,0.0
45,2005,CHL,Geophysical,0.00453498748456772
46,2006,CHL,Geophysical,0.0
47,2007,CHL,Geophysical,0.07659382023436366
48,2008,CHL,Geophysical,0.0
49,2009,CHL,Geophysical,0.0
50,2010,CHL,Geophysical,20.1125621041034
51,2011,CHL,Geophysical,0.0
52,2012,CHL,Geophysical,0.05646609476664844
53,2013,CHL,Geophysical,0.0
54,2014,CHL,Geophysical,0.052075462858222635
55,2015,CHL,Geophysical,0.712850672739813
56,2016,CHL,Geophysical,0.0
57,2017,CHL,Geophysical,0.0
58,2018,CHL,Geophysical,0.0
59,2019,CHL,Geophysical,0.0
60,2020,CHL,Geophysical,0.0
61,2021,CHL,Geophysical,0.0
62,2022,CHL,Geophysical,0.0
63,1960,CHL,Meteorological,0.0
64,1961,CHL,Meteorological,0.0
65,1962,CHL,Meteorological,0.0
66,1963,CHL,Meteorological,0.0
67,1964,CHL,Meteorological,0.0
68,1965,CHL,Meteorological,0.0
69,1966,CHL,Meteorological,0.0
70,1967,CHL,Meteorological,0.0
71,1968,CHL,Meteorological,0.0
72,1969,CHL,Meteorological,0.0
73,1970,CHL,Meteorological,0.0
74,1971,CHL,Meteorological,0.04067183463081375
75,1972,CHL,Meteorological,0.0
76,1973,CHL,Meteorological,0.0
77,1974,CHL,Meteorological,0.0
78,1975,CHL,Meteorological,0.0
79,1976,CHL,Meteorological,0.0
80,1977,CHL,Meteorological,0.07689508263853675
81,1978,CHL,Meteorological,0.0
82,1979,CHL,Meteorological,0.0
83,1980,CHL,Meteorological,0.0
84,1981,CHL,Meteorological,0.0
85,1982,CHL,Meteorological,0.0
86,1983,CHL,Meteorological,0.0
87,1984,CHL,Meteorological,0.0
88,1985,CHL,Meteorological,0.0
89,1986,CHL,Meteorological,0.0
90,1987,CHL,Meteorological,0.0
91,1988,CHL,Meteorological,0.0
92,1989,CHL,Meteorological,0.0
93,1990,CHL,Meteorological,0.0
94,1991,CHL,Meteorological,0.0
95,1992,CHL,Meteorological,0.0
96,1993,CHL,Meteorological,0.0
97,1994,CHL,Meteorological,0.0
98,1995,CHL,Meteorological,0.01830108058517399
99,1996,CHL,Meteorological,0.0
100,1997,CHL,Meteorological,0.0
101,1998,CHL,Meteorological,0.0
102,1999,CHL,Meteorological,0.0
103,2000,CHL,Meteorological,0.012946716615005809
104,2001,CHL,Meteorological,0.0
105,2002,CHL,Meteorological,0.0
106,2003,CHL,Meteorological,0.0
107,2004,CHL,Meteorological,0.0
108,2005,CHL,Meteorological,0.0
109,2006,CHL,Meteorological,0.0
110,2007,CHL,Meteorological,0.0
111,2008,CHL,Meteorological,0.0
112,2009,CHL,Meteorological,0.0
113,2010,CHL,Meteorological,0.0
114,2011,CHL,Meteorological,0.0
115,2012,CHL,Meteorological,0.0
116,2013,CHL,Meteorological,0.5386878525276554
117,2014,CHL,Meteorological,0.0
118,2015,CHL,Meteorological,0.0
119,2016,CHL,Meteorological,0.0
120,2017,CHL,Meteorological,0.0
121,2018,CHL,Meteorological,0.0
122,2019,CHL,Meteorological,0.0
123,2020,CHL,Meteorological,0.0
124,2021,CHL,Meteorological,0.06868787611430396
125,2022,CHL,Meteorological,0.0
126,1960,CHL,Hydrological,0.0
127,1961,CHL,Hydrological,0.0
128,1962,CHL,Hydrological,0.0
129,1963,CHL,Hydrological,0.0
130,1964,CHL,Hydrological,0.0
131,1965,CHL,Hydrological,0.2890970135880396
132,1966,CHL,Hydrological,0.0
133,1967,CHL,Hydrological,0.0
134,1968,CHL,Hydrological,0.0
135,1969,CHL,Hydrological,0.0
136,1970,CHL,Hydrological,0.0
137,1971,CHL,Hydrological,0.0
138,1972,CHL,Hydrological,0.0
139,1973,CHL,Hydrological,0.0
140,1974,CHL,Hydrological,0.13881398021089786
141,1975,CHL,Hydrological,0.0
142,1976,CHL,Hydrological,0.0
143,1977,CHL,Hydrological,0.0
144,1978,CHL,Hydrological,0.0
145,1979,CHL,Hydrological,0.0
146,1980,CHL,Hydrological,0.0
147,1981,CHL,Hydrological,0.0
148,1982,CHL,Hydrological,0.0
149,1983,CHL,Hydrological,0.0
150,1984,CHL,Hydrological,0.0
151,1985,CHL,Hydrological,0.0
152,1986,CHL,Hydrological,0.08302364660181685
153,1987,CHL,Hydrological,0.7741569662538682
154,1988,CHL,Hydrological,0.0
155,1989,CHL,Hydrological,0.0
156,1990,CHL,Hydrological,0.0
157,1991,CHL,Hydrological,0.01665625968892598
158,1992,CHL,Hydrological,0.0
159,1993,CHL,Hydrological,0.07509834879780614
160,1994,CHL,Hydrological,0.0
161,1995,CHL,Hydrological,0.0
162,1996,CHL,Hydrological,0.0
163,1997,CHL,Hydrological,0.27629263171798857
164,1998,CHL,Hydrological,0.0
165,1999,CHL,Hydrological,0.0
166,2000,CHL,Hydrological,0.03884014984501743
167,2001,CHL,Hydrological,0.010863378853145894
168,2002,CHL,Hydrological,0.23284968536069484
169,2003,CHL,Hydrological,0.0
170,2004,CHL,Hydrological,0.0
171,2005,CHL,Hydrological,0.0
172,2006,CHL,Hydrological,0.0
173,2007,CHL,Hydrological,0.0
174,2008,CHL,Hydrological,0.01634567409466132
175,2009,CHL,Hydrological,0.0
176,2010,CHL,Hydrological,0.0
177,2011,CHL,Hydrological,0.0
178,2012,CHL,Hydrological,0.0017502513644660376
179,2013,CHL,Hydrological,0.0
180,2014,CHL,Hydrological,0.0
181,2015,CHL,Hydrological,0.7637684895690501
182,2016,CHL,Hydrological,0.04941727724437798
183,2017,CHL,Hydrological,0.0009548265010676109
184,2018,CHL,Hydrological,0.0
185,2019,CHL,Hydrological,0.0
186,2020,CHL,Hydrological,0.0
187,2021,CHL,Hydrological,0.0
188,2022,CHL,Hydrological,0.0
189,1960,CHL,Climatological,0.0
190,1961,CHL,Climatological,0.0
191,1962,CHL,Climatological,0.0
192,1963,CHL,Climatological,0.0
193,1964,CHL,Climatological,0.0
194,1965,CHL,Climatological,0.0
195,1966,CHL,Climatological,0.0
196,1967,CHL,Climatological,0.0
197,1968,CHL,Climatological,1.2063129970896986
198,1969,CHL,Climatological,0.0
199,1970,CHL,Climatological,0.0
200,1971,CHL,Climatological,0.0
201,1972,CHL,Climatological,0.0
202,1973,CHL,Climatological,0.0
203,1974,CHL,Climatological,0.0
204,1975,CHL,Climatological,0.0
205,1976,CHL,Climatological,0.0
206,1977,CHL,Climatological,0.0
207,1978,CHL,Climatological,0.0
208,1979,CHL,Climatological,0.0
209,1980,CHL,Climatological,0.0
210,1981,CHL,Climatological,0.0
211,1982,CHL,Climatological,0.0
212,1983,CHL,Climatological,0.0
213,1984,CHL,Climatological,0.0
214,1985,CHL,Climatological,0.0
215,1986,CHL,Climatological,0.0
216,1987,CHL,Climatological,0.0
217,1988,CHL,Climatological,0.0
218,1989,CHL,Climatological,0.0
219,1990,CHL,Climatological,0.0
220,1991,CHL,Climatological,0.5552116706934017
221,1992,CHL,Climatological,0.2908550697944062
222,1993,CHL,Climatological,0.0
